Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Scarf/Shawl style (product.metafields.shopify.scarf-shawl-style),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
ept-09,EPT-09 SIVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br><b>Trouser: </b></b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/1-min_1b8f8a8c-b142-4756-bae4-b9b905d33496.webp?v=1744957820,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-09,EPT-09 SIVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br><b>Trouser: </b></b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/5-min_c81845e5-5a21-44d4-9bc9-6d15a925e189.webp?v=1744957820,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-09,EPT-09 SIVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br><b>Trouser: </b></b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/6-min_d3bd62c3-ec9b-4cc9-985e-477afbd07d68.webp?v=1744957820,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-09,EPT-09 SIVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br><b>Trouser: </b></b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/3-min_9a4928a0-f42c-43b6-ae88-79d0e3a21bfc.webp?v=1744957820,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-09,EPT-09 SIVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br><b>Trouser: </b></b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/4-min_459ecd8a-660c-48b8-8c9f-6fba53b509a6.webp?v=1744957820,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-09,EPT-09 SIVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br><b>Trouser: </b></b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/2-min_c496f2a0-4101-4631-a495-12da979e4723.webp?v=1744957812,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-09,EPT-09 SIVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br><b>Trouser: </b></b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/1-min_1b8f8a8c-b142-4756-bae4-b9b905d33496.webp?v=1744957820,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08b,EPT-8B RAME,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/5-min_cbf1fce2-2512-48be-9d9d-beac866b065d.webp?v=1744957778,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08b,EPT-8B RAME,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/4-min_5df6e4e3-a727-4c92-86bf-dfbe94a111ac.webp?v=1744957778,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08b,EPT-8B RAME,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/3-min_aa976889-bea1-44c6-85cd-ae1ac721cef2.webp?v=1744957778,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
